   ,crm_7405f         ,crm_7078              ,crm_5599          ,crm_5351          ,crm_7289
0  ,0.0               ,0.0                   ,968.1984894336603 ,                  ,
1  ,0.0               ,0.0                   ,956.6288432228368 ,                  ,
2  ,0.0               ,0.0                   ,946.672364780501  ,                  ,
3  ,0.0               ,0.0                   ,934.6617591408897 ,                  ,
4  ,0.0               ,0.0                   ,916.6686874565136 ,                  ,
5  ,0.0               ,0.0                   ,913.4597395118637 ,                  ,
6  ,0.0               ,0.0                   ,913.5738887586188 ,                  ,
7  ,0.0               ,0.0                   ,906.4568229391579 ,                  ,
8  ,0.0               ,0.0                   ,888.1379461001341 ,                  ,
9  ,0.0               ,0.0                   ,878.7664228418109 ,                  ,
10 ,0.0               ,0.0                   ,869.0636164468101 ,                  ,
11 ,0.0               ,0.0                   ,858.6886941191767 ,                  ,
12 ,0.0               ,0.0                   ,850.6295300682772 ,                  ,
13 ,0.0               ,0.0                   ,841.8779092179976 ,                  ,
14 ,0.0               ,0.0                   ,831.9090781627539 ,                  ,
15 ,0.0               ,0.0                   ,824.8906072790537 ,                  ,
16 ,0.0               ,0.0                   ,815.4250549967776 ,                  ,
17 ,0.0               ,0.0                   ,808.855777833177  ,                  ,
18 ,0.0               ,0.0                   ,802.3013399567017 ,                  ,
19 ,0.0               ,0.0                   ,793.4923360825584 ,                  ,
20 ,0.0               ,0.0                   ,778.7121212043437 ,                  ,
21 ,0.0               ,0.0                   ,699.8523783767747 ,                  ,
22 ,0.0               ,0.0                   ,720.1605958715479 ,                  ,
23 ,0.0               ,0.0                   ,0.0               ,                  ,
24 ,0.0               ,0.0                   ,0.0               ,                  ,
25 ,0.0               ,0.0                   ,0.0               ,                  ,
26 ,0.0               ,0.0                   ,741.4228205691027 ,                  ,
27 ,0.0               ,0.0                   ,694.4091135020598 ,                  ,
28 ,0.0               ,0.0                   ,742.0820471446931 ,                  ,
29 ,0.0               ,0.0                   ,731.0246210773632 ,                  ,
30 ,0.0               ,0.0                   ,723.3705139188281 ,                  ,
31 ,0.0               ,0.0                   ,724.2843604376961 ,                  ,
32 ,0.0               ,0.0                   ,715.2039480070785 ,                  ,
33 ,0.0               ,0.0                   ,708.8365718351414 ,                  ,
34 ,0.0               ,0.0                   ,710.5560486581661 ,                  ,
35 ,0.0               ,0.0                   ,640.6392966152944 ,                  ,
36 ,0.0               ,0.0                   ,689.792654297345  ,                  ,
37 ,0.0               ,0.0                   ,1021.1792957439136,                  ,
38 ,0.0               ,0.0                   ,663.6737592558186 ,                  ,
39 ,0.0               ,0.0                   ,659.2011986874571 ,                  ,
40 ,0.0               ,0.0                   ,649.2039971751833 ,                  ,
41 ,0.0               ,0.0                   ,646.837232407423  ,                  ,
42 ,0.0               ,0.0                   ,639.4831034686825 ,                  ,
43 ,0.0               ,0.0                   ,634.3010942251082 ,                  ,
44 ,0.0               ,0.0                   ,629.8837263622094 ,                  ,
45 ,0.0               ,0.0                   ,624.4464532549838 ,                  ,
46 ,0.0               ,0.0                   ,619.6426860675277 ,                  ,
47 ,0.0               ,0.0                   ,614.3494685681412 ,                  ,
48 ,0.0               ,0.0                   ,609.1317645175671 ,                  ,
49 ,0.0               ,0.0                   ,605.5170334255172 ,                  ,
50 ,0.0               ,0.0                   ,602.1821175594574 ,                  ,
51 ,0.0               ,0.0                   ,417.5367452424816 ,                  ,
52 ,0.0               ,0.0                   ,561.3501646827137 ,                  ,
53 ,997.8374113971029 ,0.0                   ,571.1238551675059 ,                  ,
54 ,873.5331216555903 ,0.0                   ,560.7112828074337 ,                  ,
55 ,879.7903281718974 ,0.0                   ,558.138874452766  ,                  ,
56 ,886.1217844668109 ,0.0                   ,558.6833452966341 ,                  ,
