DATEPRD,X5599,X5351,X7289,X7405f,X7078
2013-08-11,531.82,764.87,0,0,1054.09
2013-08-12,527.03,758.25,0,0,1038.69
2013-08-13,531.69,765.06,0,0,1050.89
2013-08-14,534.08,768.65,0,0,1044.55
2013-08-15,530.29,763.75,0,0,1044.6
2013-08-16,540.4,777.62,0,0,1075.73
2013-08-17,531.72,765.66,0,0,1088.86
2013-08-18,533.77,767.88,0,0,1041.92
2013-08-19,552.66,795.06,0,0,1047.06
2013-08-20,544.62,783.49,0,0,1024.24
2013-08-21,534.43,768.84,0,0,1050.43
2013-08-22,528.12,775.82,0,0,1045.41
2013-08-23,529.89,762.29,0,0,1038.88
2013-08-24,528.26,759.95,0,0,1030.14
2013-08-25,525.74,756.32,0,0,1029.58
2013-08-26,522.01,750.96,0,0,1030.05
2013-08-27,565.25,813.18,0,0,697.86
2013-08-28,487.72,701.65,0,0,0
2013-08-29,490.27,705.38,0,0,0
2013-08-30,496.78,714.74,0,0,0
2013-08-31,500.71,720.45,0,0,0
2013-09-01,501,720.93,0,0,0
2013-09-02,520.46,748.74,0,0,15.16
2013-09-03,524.59,754.75,0,0,940.96
2013-09-04,528.03,759.66,0,0,969.43
2013-09-05,414.29,773.9,0,0,1016.4
2013-09-06,260.2,767.82,0,0,1156.84
2013-09-07,258.92,764.48,0,0,1150.65
2013-09-08,257.43,760.03,0,0,1140.41
2013-09-09,259.06,764.55,0,0,1109.4
2013-09-10,253.66,749.17,0,0,1118.97
2013-09-11,249.96,737.77,0,0,1102.58
2013-09-12,204.82,586.5,0,0,809.9
2013-09-13,0,218.49,0,0,0
2013-09-14,38.35,27.93,0,0,329.15
2013-09-15,434.55,545.87,0,0,982.21
2013-09-16,397.03,479.48,0,0,947.47
2013-09-17,494.2,628.31,0,0,1042
2013-09-18,198.18,284.01,0,0,474.31
2013-09-19,0,0,0,0,0
2013-09-20,184.8,326.59,0,0,642.66
2013-09-21,123.62,655.17,0,0,309.88
2013-09-22,383.41,574.57,0,0,1034.51
2013-09-23,492.62,625.99,0,0,1074.59
2013-09-24,408.26,656.48,0,0,1142.53
2013-09-25,410.28,659.55,0,0,1107.51
2013-09-26,411.89,661.93,0,0,1124.52
2013-09-27,64.36,491.73,0,0,299.46
2013-09-28,206.41,799.2,0,0,380.03
2013-09-29,367.22,665.7,0,0,1158.6
2013-09-30,375.93,681.42,0,0,1194.95
2013-10-01,375.71,681.02,0,0,1195.94
2013-10-02,295.03,711.35,0,0,1249.05
2013-10-03,293.47,707.63,0,0,1245.28
2013-10-04,292.86,705.9,0,0,1242.87
2013-10-05,296.71,714.35,0,0,1235.41
2013-10-06,298.71,718.46,0,0,1256.2
2013-10-07,298.45,714.08,0,0,1251.09
2013-10-08,295.29,709.59,0,0,1251.81
2013-10-09,292.16,702.19,0,0,1256.98
2013-10-10,292.9,703.99,0,0,1271.99
2013-10-11,163.08,311.95,0,0,655.2
2013-10-12,99.76,44.93,0,0,362.61
2013-10-13,279.17,615.54,0,0,1178.27
2013-10-14,279.23,671.85,0,0,1183.06
2013-10-15,280.73,683.09,0,0,1198.75
2013-10-16,283.09,680.85,0,0,1197.21
2013-10-17,288.49,692.36,0,0,1198.18
2013-10-18,284.86,685.23,0,0,1215.93
2013-10-19,282.54,679.92,0,0,1221.59
2013-10-20,287.52,691.96,0,0,1210.15
2013-10-21,282.06,678.86,0,0,1218.52
2013-10-22,285.59,686.85,0,0,1219.97
2013-10-23,285.87,687.36,0,0,1221.28
2013-10-24,286.93,686.11,0,0,1250.87
2013-10-25,286.03,687.65,0,0,1249.12
2013-10-26,285.36,685.92,0,0,1236.82
2013-10-27,280.98,675.02,0,0,1219.94
2013-10-28,141.14,0,0,0,250.93
2013-10-29,181.22,0,0,0,557.18
2013-10-30,153.26,193.53,0,0,414.96
2013-10-31,276.81,633.57,0,0,1197.34
2013-11-01,281.1,677.68,0,0,1212.36
2013-11-02,289.26,11.09,0,0,1252.76
2013-11-03,204.44,5.75,0,0,773.31
2013-11-04,56.86,565.18,0,0,1155.15
2013-11-05,0,678.85,0,0,1180.75
2013-11-06,0,647.62,0,0,1127.93
2013-11-07,148.58,623.9,0,0,1164.19
2013-11-08,259.94,670.56,0,0,1186.6
2013-11-09,256.51,661.81,0,0,1174.61
2013-11-10,255.68,659.87,0,0,1201.41
2013-11-11,228.51,673.1,0,0,1257.28
2013-11-12,273.47,707.48,0,0,1167.56
2013-11-13,271.33,699.29,0,0,1150.55
2013-11-14,274.55,707.27,0,0,1162.76
2013-11-15,277.47,714.35,0,0,1172.19
2013-11-16,280.21,721.6,0,0,1185.38
2013-11-17,272.16,701.5,0,0,1156.62
2013-11-18,272.09,701.07,0,0,1155.28
2013-11-19,267.04,688.24,0,0,1145.31
2013-11-20,273.73,705.48,0,0,1222.99
2013-11-21,274.09,706.16,0,0,1245.11
2013-11-22,277.75,715.3,0,0,1213.11
2013-11-23,273.88,705.39,0,0,1216.54
2013-11-24,271.59,699.92,0,0,1232.91
2013-11-25,271.85,700.29,0,0,1227.25
2013-11-26,272.84,702.39,0,0,1200.78
2013-11-27,272.37,701.55,0,0,1202.03
2013-11-28,271.91,700.53,0,0,1193.42
2013-11-29,270.19,696.45,0,0,1196.26
2013-11-30,271.16,698.99,0,0,1253.95
2013-12-01,271.62,700.13,0,0,1274.74
2013-12-02,281.46,644.52,0,0,1326.29
2013-12-03,280.77,642.92,0,0,1314.55
2013-12-04,271.96,623.26,0,0,1340.01
2013-12-05,264.79,609.47,0,0,1306.06
2013-12-06,106.82,321.16,0,0,605.59
2013-12-07,251.57,577.46,0,0,1166.9
2013-12-08,264.78,605.97,0,0,1170.31
2013-12-09,105.28,308.67,0,0,590.11
2013-12-10,154.42,37.17,0,0,780.7
2013-12-11,0,0,0,0,62.69
2013-12-12,209.17,56.35,0,0,1096.97
2013-12-13,135.68,111.55,0,0,364.15
2013-12-14,215.12,460.84,0,0,1023.24
2013-12-15,208.64,552.54,0,0,1086.49
2013-12-16,253.67,627.43,0,0,1228.17
2013-12-17,284.01,649.17,0,0,1276.23
2013-12-18,275.19,629,0,0,1311.5
2013-12-19,274.85,628.24,0,0,1306.85
2013-12-20,151.55,388.08,0,0,916.69
2013-12-21,259.98,589.05,0,0,1149.7
2013-12-22,276.48,632.5,0,0,1268.29
2013-12-23,274.74,628.71,0,0,1300.33
2013-12-24,274.49,628.16,0,0,1332.52
2013-12-25,282.76,646.65,0,0,1321.87
2013-12-26,240.71,534.96,0,0,1133.69
2013-12-27,154.55,262.78,0,0,648.24
2013-12-28,268.24,615.33,0,0,1219.26
2013-12-29,273.76,627.72,0,0,1240.64
2013-12-30,273.25,626.64,0,0,1269.54
2013-12-31,239.21,529.54,0,0,973.43
2014-01-01,276.25,604.44,0,0,1199.06
2014-01-02,275.19,631.61,0,0,1327.31
2014-01-03,232.87,619.46,0,0,1296.68
2014-01-04,171.12,358.71,0,0,753.22
2014-01-05,51.31,32.57,0,0,287.7
2014-01-06,260.47,523.11,0,0,1109.93
2014-01-07,269.88,620.74,0,0,1202.73
2014-01-08,281.94,647.63,0,0,1218.19
2014-01-09,275.23,632.21,0,0,1241.32
2014-01-10,275.86,633.44,0,0,1253.36
2014-01-11,274.6,630.81,0,0,1279.02
2014-01-12,273.45,628.08,0,0,1276.71
2014-01-13,275.89,633.9,0,0,1289.27
2014-01-14,269.08,618.13,0,0,1311.79
2014-01-15,213.77,600.53,0,0,1274.05
2014-01-16,203.72,604.43,351.05,0,1250.06
2014-01-17,269.91,619.14,485.34,0,1297.07
2014-01-18,83.39,593.68,513.12,0,1282.74
2014-01-19,0,568.99,497.55,0,1231.07
2014-01-20,0,580.12,469.59,0,1236.35
2014-01-21,0,570.78,479.09,0,1245.46
2014-01-22,0,597.45,495.13,0,1296.27
2014-01-23,0,623.72,430.23,0,1352.45
2014-01-24,23.51,594.99,409.09,0,1296.83
2014-01-25,111.81,651.77,443.84,0,653.96
2014-01-26,146.41,527.7,360.8,0,1138.27
2014-01-27,152.65,526.02,362.03,0,1128.83
2014-01-28,71.22,555.86,377.77,0,1185.93
2014-01-29,3.99,241.01,0,0,473.89
2014-01-30,0,0,0,0,0
2014-01-31,253.72,415.55,0,0,1162.85
2014-02-01,242.4,563.55,356.46,0,1182.42
2014-02-02,249.21,578.73,338.4,0,1324.83
2014-02-03,250.29,581.16,336,0,1353.04
2014-02-04,249.14,578.4,325.52,0,1362.32
2014-02-05,249.99,580.14,312.16,0,1355.11
2014-02-06,129.54,195.27,117.66,0,336.75
2014-02-07,0,0,0,0,0
2014-02-08,37.32,506.83,381.23,0,140.99
2014-02-09,246.21,562.95,373.59,0,1165.83
2014-02-10,25.89,299.48,334.24,0,117.82
2014-02-11,0,308.34,262.69,0,0
2014-02-12,227.19,433.55,334.29,0,953.58
2014-02-13,261.34,597.34,369.51,0,1196.82
2014-02-14,265.94,607.85,348.32,0,1237.04
2014-02-15,219.14,600.91,337.97,0,1219.55
2014-02-16,266.27,609.6,308.48,0,1237.45
2014-02-17,269.76,616.6,262.46,0,1234.86
2014-02-18,188.33,332.49,134.26,0,649.74
2014-02-19,266.53,597.13,301.33,0,1081.91
2014-02-20,273.39,624.9,281.26,0,1230.32
2014-02-21,276.26,631.46,255.93,0,1248.17
2014-02-22,280.32,640.73,252.46,0,1241.05
2014-02-23,275.25,629.14,250.86,0,1243.91
2014-02-24,276.34,631.65,278.48,0,1210.72
2014-02-25,269.44,615.86,268.59,0,1223.99
2014-02-26,269.07,615.02,265.37,0,1223.72
2014-02-27,266.84,609.92,259.99,0,1209.75
2014-02-28,270,617.13,251.09,0,1208.28
2014-03-01,262.88,600.87,242.16,0,1188.83
2014-03-02,262.86,600.82,239.92,0,1200.67
2014-03-03,270.42,616.36,236.48,0,1199.47
2014-03-04,264.68,604.97,226.36,0,1194.84
2014-03-05,266.65,609.49,232.62,0,1178.12
2014-03-06,268.37,613.41,230.65,0,1189.71
2014-03-07,260.52,595.48,231.96,0,1216.72
2014-03-08,258.63,591.15,229.4,0,1332.15
2014-03-09,260.25,594.86,227.01,0,1306.23
2014-03-10,258.2,534.84,261.49,0,1326.01
2014-03-11,255.86,529.99,264.28,0,1329.45
2014-03-12,254.22,526.6,264.46,0,1309.27
2014-03-13,255.14,543.99,254.96,0,1319.73
2014-03-14,253.39,542.98,257.13,0,1310.19
2014-03-15,253.68,543.6,255.09,0,1324.86
2014-03-16,251.39,538.68,248.63,0,1307.78
2014-03-17,252.82,541.75,248.22,0,1309.6
2014-03-18,249.78,535.24,244.88,0,1272.58
2014-03-19,203.75,539.1,236.67,0,1284.05
2014-03-20,240.81,547.51,225.45,0,1308.95
2014-03-21,252.33,540.7,229.31,0,1294.7
2014-03-22,155.75,302.51,192.31,0,598.56
2014-03-23,220.76,432.1,267.64,0,940.92
2014-03-24,89.41,106.91,24.01,0,246.43
2014-03-25,48.29,9.81,178.5,0,219.97
2014-03-26,269,486.84,72.79,0,1172.89
2014-03-27,89.6,164.78,197.56,0,497.54
2014-03-28,20.58,401.02,295.02,0,179.61
2014-03-29,103.6,140.74,190.24,0,357.54
2014-03-30,234.42,487.12,343.28,0,1111.8
2014-03-31,247.62,530.62,232.99,0,1261.62
2014-04-01,246.51,528.32,244.15,0,1260.09
2014-04-02,247.15,529.68,243.97,0,1262.15
2014-04-03,248.03,531.58,244.72,0,1266.28
2014-04-04,206.64,539.14,248.08,0,1280.31
2014-04-05,210.29,539.2,245.44,0,1286.67
2014-04-06,171.1,401.1,183.67,0,925.83
2014-04-07,12.44,428.03,208.02,0,52.88
2014-04-08,198.5,543.96,240.57,0,1040.68
2014-04-09,209.39,573.63,249.1,0,1217.92
2014-04-10,202.46,294.4,220.07,0,985.07
2014-04-11,213.71,585.5,251.02,0,1259.32
2014-04-12,213.39,584.55,249.52,0,1254.79
2014-04-13,210.65,577.19,246.85,0,1250.18
2014-04-14,215.16,584.55,247.48,0,1245.44
2014-04-15,210.76,577.68,247.69,0,1256.97
2014-04-16,210.38,576.69,247.99,0,1248.98
2014-04-17,213,583.62,250.07,0,1267.54
2014-04-18,210.99,578,247.18,0,1256.91
2014-04-19,211.19,578.95,251.39,0,1283.57
2014-04-20,209.66,574.74,251,0,1284.97
2014-04-21,169.26,575.45,248.55,0,1261.85
2014-04-22,137.8,555.35,237.41,631.47,1206.79
2014-04-23,151.04,581.4,217.96,1166.46,1278.99
2014-04-24,200.67,714.49,192.44,1549.81,833.38
2014-04-25,163.06,589.96,247.23,1248.7,1294.23
2014-04-26,173.54,583.71,244.07,1345.78,1280.42
2014-04-27,213.48,584.82,243.12,1349.56,1266.17
2014-04-28,212.63,582.58,245.97,1345.61,1295.64
2014-04-29,202.33,554.65,238.06,1279.46,1267.79
2014-04-30,196.8,539.32,230.51,1225.62,1256.92
2014-05-01,194.26,532.62,229.21,1212.9,1349.88
2014-05-02,193.48,530.32,227.49,1074.04,1350.61
2014-05-03,193.05,529.07,225.58,1044.17,1342.36
2014-05-04,191.08,523.92,224.74,970.2,1344.44
2014-05-05,199.63,544.38,258.38,946.12,1318.46
2014-05-06,196.51,535.8,254.05,1002.83,1292.56
2014-05-07,195.86,533.97,252.47,925.31,1281.25
2014-05-08,105.51,262.96,261.88,913.86,1156.6
2014-05-09,0,0,348.6,176.8,493.47
2014-05-10,0,107.31,253.83,944.19,1206.07
2014-05-11,94.4,469.42,231.51,823.41,1111.36
2014-05-12,175.82,479.16,224.81,769.01,1089.83
2014-05-13,177.92,481.15,223.23,740.8,1108.5
2014-05-14,180.26,487.45,225.84,713.24,1120.87
2014-05-15,64.25,456.34,210.63,743.83,1051.71
2014-05-16,0,450.38,210.13,736.09,1069.25
2014-05-17,0,455.79,232.87,782.88,1065.51
2014-05-18,0,455.57,225.92,834.68,1060.68
2014-05-19,0,450.86,220.88,788.8,1070.94
2014-05-20,0,454.02,222.58,783.06,1039.28
2014-05-21,0,454.45,221.78,743.77,1051.25
2014-05-22,0,459.04,223.49,735.41,1056.25
2014-05-23,0,463.91,224.58,742.89,1067.53
2014-05-24,0,468,224.8,746.54,1079.36
2014-05-25,1.3,469.68,218.49,750.57,1102.34
2014-05-26,144.14,448.28,195.66,727.26,1057.78
2014-05-27,164.82,449.19,201.53,715.5,1063.17
2014-05-28,189.1,416.03,231.07,695.01,1087.43
2014-05-29,190.12,418.28,234.29,698.77,1096.32
2014-05-30,191.25,420.8,237.1,704.08,1111.83
2014-05-31,194.94,428.87,241.19,715.93,1134.99
2014-06-01,196.08,431.47,243.64,724.21,1152.6
2014-06-02,194.41,325.75,221.03,459.83,1068.24
2014-06-03,194.94,411.55,239.71,715.1,1109.18
2014-06-04,193.38,421.75,237.3,706.8,1109.98
2014-06-05,204.21,445.16,255.67,677.29,1178.62
2014-06-06,204.19,445.36,256,690.38,1180.81
2014-06-07,205.56,448.72,257.84,694.3,1199.75
2014-06-08,205.52,452.13,256.49,690.7,1197.7
2014-06-09,231.66,509.65,288.87,238.45,1349.24
2014-06-10,205.19,451.41,255.7,647.11,1189.09
2014-06-11,205.71,452.56,254.83,745.92,1172.31
2014-06-12,205.41,451.89,253.87,804.85,1175.15
2014-06-13,193.5,503.1,239.97,818.89,1116.79
2014-06-14,190.4,495.05,236.57,781.21,1102.45
2014-06-15,190.81,496.1,236.55,786.16,1104.3
2014-06-16,192.67,500.94,232.51,757.43,1120.89
2014-06-17,188.43,489.91,231.91,726.5,1156.42
2014-06-18,187.27,486.9,229.52,723.96,1160.01
2014-06-19,186.05,483.72,225.7,715.28,1147.01
2014-06-20,185.52,482.36,226.71,710.62,1146.84
2014-06-21,184.04,478.49,225.72,708.04,1146.08
2014-06-22,182.39,474.22,223.97,702.73,1136.02
2014-06-23,179.37,466.36,219.8,695.74,1117.48
2014-06-24,187.64,440.96,226.23,658.27,1169.41
2014-06-25,196.91,462.73,231.36,576.35,1199.09
2014-06-26,120.5,183.67,127.49,369.83,660.56
2014-06-27,173.73,296.83,205.56,418.45,964.21
2014-06-28,186.58,394.59,225.63,588.96,1119.75
2014-06-29,187.26,432.02,220.34,571.88,1107.66
2014-06-30,191.87,442.64,226.06,512.52,1141
2014-07-01,186.83,439.06,226.89,563.26,1109.35
2014-07-02,186.85,439.09,226.6,564.26,1109.15
2014-07-03,187.02,439.5,226.34,565.09,1110.91
2014-07-04,185.51,435.95,225.47,563.73,1111.67
2014-07-05,185.2,435.23,225.66,563.46,1107.58
2014-07-06,184.96,434.67,225.73,563.38,1098.4
2014-07-07,188.38,442.68,229.33,522,1110.52
2014-07-08,189.5,445.32,230.15,523.33,1104.61
2014-07-09,188.9,443.92,230.38,521.97,1100.81
2014-07-10,191.88,450.92,233.28,490.49,1109.35
2014-07-11,192.49,452.35,232.53,491.71,1106.42
2014-07-12,188.82,443.73,231.65,488.44,1120.08
2014-07-13,188.11,442.05,229.51,481.59,1109.35
2014-07-14,185.57,436.1,226.01,492.02,1091.38
2014-07-15,189.03,444.23,233.07,476.08,1117.68
2014-07-16,187.73,441.15,231.68,466.34,1110.34
2014-07-17,187.62,440.9,231.08,463.64,1102.21
2014-07-18,186.27,437.73,229.48,459.37,1095.2
2014-07-19,185.94,436.95,229.08,458.09,1094.58
2014-07-20,191.61,380.77,155.38,290.87,1063.56
2014-07-21,191.45,414.84,133.54,487.33,1047.69
2014-07-22,189.9,446.27,224.19,468.63,1047.04
2014-07-23,188.17,442.19,221.77,465.25,1037.74
2014-07-24,190.51,447.69,223.21,466.58,1051.17
2014-07-25,189.06,444.29,225.33,464.22,1056.31
2014-07-26,186.07,441.5,223.58,458.9,1044.72
2014-07-27,189.06,444.28,225.86,460.83,1052.32
2014-07-28,187.63,440.93,225.28,457.95,1047.4
2014-07-29,186.18,437.53,224.12,481.51,1040.16
2014-07-30,153.93,418.68,214.87,489.43,997.38
2014-07-31,181.66,355.48,196.37,375.93,1255.25
2014-08-01,183.95,357.69,195.54,378.38,1268.08
2014-08-02,184.75,359.24,195.23,379.41,1267.54
2014-08-03,183.88,357.55,194.31,377.42,1261.33
2014-08-04,186.96,363.53,197.66,417.98,1280.23
2014-08-05,180.42,350.83,190.7,507.75,1236.61
2014-08-06,180.22,350.44,198.4,469.73,1242.96
2014-08-07,174.56,334.33,187.32,521.26,1182.78
2014-08-08,173.47,332.25,186.52,518.32,1179.46
2014-08-09,170.15,330.84,187.39,493.37,1175.77
2014-08-10,170.25,326.08,184.07,509.21,1163.78
2014-08-11,175.91,336.92,191.07,351.8,1205.65
2014-08-12,175.23,340.72,194.74,287.03,1214.29
2014-08-13,174.51,339.33,194.89,278.58,1222.62
2014-08-14,175.42,341.09,192.77,297.19,1229.06
2014-08-15,175.96,342.15,191.43,297.33,1235.28
2014-08-16,175.16,340.59,190.63,296.2,1229.35
2014-08-17,175.23,340.72,190.59,296.12,1231.86
2014-08-18,174.03,338.4,189.16,293.35,1227.95
2014-08-19,10.2,4.3,22.97,0,79.31
2014-08-20,0,0,0,0,0
2014-08-21,0,0,0,0,0
2014-08-22,0,0,0,0,0
2014-08-23,0,0,0,0,0
2014-08-24,0,0,0,0,0
2014-08-25,108.65,155.58,0,0,740.85
2014-08-26,187.4,332.73,0,0,583.1
2014-08-27,184.6,358.23,0,0,521.8
2014-08-28,190.17,290.24,0,0,589.54
2014-08-29,193.79,374.02,0,0,516.94
2014-08-30,189.57,368.61,0,0,481.7
2014-08-31,194.05,377.32,0,0,469.7
2014-09-01,190.07,369.58,0,0,488.42
2014-09-02,210.77,419.29,29.63,0,610.72
2014-09-03,188.01,305.75,228.09,103.77,1123.32
2014-09-04,175.62,327.3,212.27,290.3,1319.35
2014-09-05,172.51,335.43,211.34,427.63,1258.26
2014-09-06,174.27,333.78,204.1,422.69,1245.86
2014-09-07,171.51,333.5,204.01,412.14,1240.68
2014-09-08,171.29,333.06,197.29,410.96,1236.58
2014-09-09,170.51,331.54,201.45,409.11,1229.27
2014-09-10,170.94,332.39,197.29,389.68,1220.28
2014-09-11,167.99,326.65,190.35,380.29,1195.64
2014-09-12,173.84,338.03,196.46,391.22,1222.65
2014-09-13,173.19,336.76,193.51,391.65,1223.26
2014-09-14,170.7,331.91,188.87,384.47,1201.18
2014-09-15,174.56,339.41,191.73,342.35,1227.24
2014-09-16,172.69,335.78,187.78,338.88,1216.49
2014-09-17,174,333.27,185.33,344.5,1203.66
2014-09-18,173.91,333.09,196.95,333.55,1200.48
2014-09-19,172.94,331.24,195.59,329.6,1189.08
2014-09-20,177.56,340.08,200.91,358.2,1186.37
2014-09-21,174.02,333.29,196.86,377.72,1188.93
2014-09-22,173.94,333.16,196.96,356.65,1193.53
2014-09-23,174.28,338.89,198.19,354.31,1187.64
2014-09-24,173.7,337.74,197.56,338.53,1187.34
2014-09-25,174.24,338.79,197.98,324.9,1187.17
2014-09-26,174.24,338.8,197.89,324.95,1184.83
2014-09-27,172.71,335.82,195.97,322.07,1168.83
2014-09-28,172.14,334.71,195.23,308.31,1164.44
2014-09-29,9.02,5.42,11.4,0,39.68
2014-09-30,137.42,157.75,113.56,0,680.46
2014-10-01,166.2,323.17,190.34,55.2,1129.14
2014-10-02,175.55,341.36,195.31,199.07,1196.43
2014-10-03,160.1,311.3,178.28,275.22,1092.77
2014-10-04,167.59,325.86,191.59,287.64,1143
2014-10-05,165.77,322.32,188.43,323.18,1133.6
2014-10-06,164.91,320.67,187.38,315.32,1124.63
2014-10-07,166.42,323.6,189.53,322.31,1136.26
2014-10-08,163.67,320.46,184.91,320.34,1117.8
2014-10-09,177.41,326.8,190.7,325.92,1103.71
2014-10-10,179.64,330.91,192.62,329.2,1082.55
2014-10-11,177.49,326.95,190.47,325.01,1096.68
2014-10-12,176.78,325.64,189.35,323.37,1089.01
2014-10-13,175.48,323.25,188.14,320.68,1084.69
2014-10-14,175.31,322.94,188.31,320.41,1086.55
2014-10-15,175.49,323.28,188.35,322.67,1087.94
2014-10-16,174.39,321.24,187.05,322.4,1089.13
2014-10-17,173.81,320.17,186.89,321.25,1089.63
2014-10-18,174.6,321.63,187.21,321.22,1080.18
2014-10-19,175.34,323,187.62,323.37,1070.84
2014-10-20,173.65,319.88,185.91,326.54,1058.72
2014-10-21,177.17,326.36,190.31,316.21,1084.5
2014-10-22,176.38,324.91,188.87,314.23,1072.14
2014-10-23,176.37,324.89,188.29,313.92,1064.29
2014-10-24,176.78,325.66,174.21,314.24,1054.46
2014-10-25,178.54,328.9,117.56,317.47,1068.23
2014-10-26,187.27,344.97,161.42,333.14,1110.58
2014-10-27,178.98,329.71,190.36,318.2,1065.09
2014-10-28,178.74,329.27,190.9,315.14,1063.62
2014-10-29,159.75,318,182.9,304.36,1030.57
2014-10-30,177.39,327.23,190.57,318.25,1071.73
2014-10-31,178.64,321.89,189.19,322.58,1073.25
2014-11-01,177.31,326.63,189.29,316.54,1054.42
2014-11-02,180.04,324.42,190.03,321.29,1042.65
2014-11-03,190.44,340.8,195.52,295.17,1026.75
2014-11-04,187.73,335.94,193.73,290.68,1033.12
2014-11-05,185.04,331.12,191.12,288.26,1022.89
2014-11-06,185.14,331.3,191.37,292.13,1026.32
2014-11-07,189.55,339.2,195.85,293.13,1047.36
2014-11-08,189.18,338.53,195.26,292.29,1039.83
2014-11-09,187.68,335.86,193.72,289.93,1037.21
2014-11-10,179.26,349.09,184.92,283.28,990.65
2014-11-11,186.41,363.01,192.29,294.55,1019.84
2014-11-12,187.16,364.46,192.99,295.28,1019.63
2014-11-13,184.54,359.37,190.12,290.93,1001.28
2014-11-14,184.34,358.97,189.7,290.46,995.77
2014-11-15,186.2,362.59,191.69,293.48,1004.24
2014-11-16,183.7,357.73,189.15,292.77,993.88
2014-11-17,181.31,353.08,186.7,293.11,980.83
2014-11-18,186.42,363.03,191.68,289.07,1005.51
2014-11-19,181.77,353.98,186.82,281.74,978.26
2014-11-20,184.03,358.38,189.11,285.32,989.16
2014-11-21,183,356.36,187.96,283.6,981.25
2014-11-22,182.72,355.82,187.72,283.17,980.88
2014-11-23,176.44,343.6,181.04,272.89,944.45
2014-11-24,50.87,357.14,188.01,0,981.97
2014-11-25,0,340.37,150.52,0,861.08
2014-11-26,0,305.37,0,0,300.43
2014-11-27,0,321.38,0,0,315.64
2014-11-28,58.69,400.77,0,0,517.82
2014-11-29,146.09,336.44,0,0,271.57
2014-11-30,0,321.67,0,1.26,146.81
2014-12-01,0,198.35,0,120.29,130.07
2014-12-02,0,253.04,0,0,207.03
2014-12-03,0,262.77,0,0,193.28
2014-12-04,0,282.43,0,0,379.68
2014-12-05,0,483.94,0,0,421.41
2014-12-06,0,339.06,0,0,266.7
2014-12-07,0,310.03,0,0,222.63
2014-12-08,0,295.37,0,0,202.47
2014-12-09,0,302.9,0,0,208.3
2014-12-10,0,313.84,0,0,290.89
2014-12-11,0,281.74,0,0,192.29
