DATEPRD   ,prod_X7405f,prod_X5599,prod_X5351,prod_X7289,in_X7405f,in_X7078,in_X5599,in_X5351,in_X7289,pres_X7405f     ,pres_X7078      ,pres_X5599,pres_X5351      ,pres_X7289      ,prod_X7078
2013-06-01,0          ,536.48    ,894.15    ,0         ,0        ,0       ,4935.8  ,3604.8  ,0       ,0               ,0               ,0         ,244.189707916667,0               ,0
2013-06-02,0          ,537.52    ,895.88    ,0         ,0        ,0       ,4960.84 ,3623.08 ,0       ,0               ,0               ,0         ,244.340160625   ,0               ,0
2013-06-03,0          ,539.19    ,898.65    ,0         ,0        ,0       ,4857.45 ,3547.57 ,0       ,0               ,0               ,0         ,244.339633125   ,0               ,0
2013-06-04,0          ,527.94    ,879.89    ,0         ,0        ,0       ,4909.77 ,3585.78 ,0       ,0               ,0               ,0         ,244.561564791667,0               ,0
2013-06-05,0          ,486.9     ,885.75    ,0         ,0        ,0       ,4614.69 ,3678.67 ,0       ,0               ,0               ,0         ,245.355554375   ,0               ,0
2013-06-06,0          ,488.39    ,889.37    ,0         ,0        ,0       ,4565.67 ,3643.36 ,0       ,0               ,0               ,0         ,244.725645208333,0               ,0
2013-06-07,0          ,523.27    ,873.88    ,0         ,0        ,0       ,4758.23 ,3482.14 ,0       ,0               ,0               ,0         ,243.796686041667,0               ,0
2013-06-08,0          ,516.87    ,863.37    ,0         ,0        ,0       ,4784.43 ,3501.99 ,0       ,0               ,0               ,0         ,243.578117916667,0               ,0
2013-06-09,0          ,401.07    ,882.71    ,0         ,0        ,0       ,3849.62 ,3712.75 ,0       ,0               ,0               ,0         ,244.364549574468,0               ,0
2013-06-10,0          ,412.17    ,795.81    ,0         ,0        ,0       ,4242.19 ,3589.14 ,0       ,0               ,0               ,0         ,244.347245416667,0               ,0
2013-06-11,0          ,494.31    ,825.65    ,0         ,0        ,0       ,4839.05 ,3541.83 ,0       ,0               ,0               ,0         ,244.442579375   ,0               ,0
2013-06-12,0          ,499.71    ,833.77    ,0         ,0        ,0       ,4711.51 ,3444.83 ,0       ,0               ,0               ,0         ,244.604997083333,0               ,0
2013-06-13,0          ,508.22    ,847.02    ,0         ,0        ,0       ,4710.18 ,3440.01 ,0       ,0               ,0               ,0         ,244.5569825     ,0               ,0
2013-06-14,0          ,511.37    ,852.28    ,0         ,0        ,0       ,4718.65 ,3446.21 ,0       ,0               ,0               ,0         ,244.590366041667,0               ,0
2013-06-15,0          ,511.01    ,851.68    ,0         ,0        ,0       ,4777.46 ,3489.16 ,0       ,0               ,0               ,0         ,244.763115      ,0               ,0
2013-06-16,0          ,516.52    ,860.87    ,0         ,0        ,0       ,4746.73 ,3466.72 ,0       ,0               ,0               ,0         ,244.65946125    ,0               ,0
2013-06-17,0          ,526.2     ,877.01    ,0         ,0        ,0       ,4791.85 ,3499.67 ,0       ,0               ,0               ,0         ,244.811304375   ,0               ,0
2013-06-18,0          ,526.93    ,878.21    ,0         ,0        ,0       ,4843.25 ,3537.21 ,0       ,0               ,0               ,0         ,244.700250625   ,0               ,0
2013-06-19,0          ,527.68    ,879.48    ,0         ,0        ,0       ,4825.52 ,3524.26 ,0       ,0               ,0               ,0         ,244.596153125   ,0               ,0
2013-06-20,0          ,525.85    ,876.42    ,0         ,0        ,0       ,4867.89 ,3555.19 ,0       ,0               ,0               ,0         ,244.72767875    ,0               ,0
2013-06-21,0          ,472.67    ,787.8     ,0         ,0        ,0       ,4370.07 ,3191.62 ,0       ,0               ,0               ,0         ,245.402884229415,0               ,0
2013-06-22,0          ,0         ,421.26    ,0         ,0        ,0       ,0       ,1114.58 ,0       ,0               ,0               ,0         ,251.893467465974,0               ,0
2013-06-23,0          ,0         ,75.58     ,0         ,0        ,0       ,0       ,384.81  ,0       ,0               ,0               ,0         ,248.803047337881,0               ,0
2013-06-24,0          ,0         ,0         ,0         ,0        ,0       ,0       ,0       ,0       ,0               ,0               ,0         ,0               ,0               ,0
2013-06-25,0          ,0         ,0         ,0         ,0        ,0       ,0       ,0       ,0       ,0               ,0               ,0         ,0               ,0               ,0
2013-06-26,0          ,177.64    ,696.24    ,0         ,0        ,0       ,2179.73 ,3743.67 ,0       ,0               ,0               ,0         ,249.585964319846,0               ,0
2013-06-27,0          ,0         ,566.52    ,0         ,0        ,0       ,0       ,2477.78 ,0       ,0               ,0               ,0         ,246.37017407869 ,0               ,0
2013-06-28,0          ,144.51    ,762.49    ,0         ,0        ,0       ,1920.11 ,4439.41 ,0       ,0               ,0               ,0         ,250.013389519563,0               ,0
2013-06-29,0          ,492.64    ,821.87    ,0         ,0        ,0       ,4915.55 ,3593.49 ,0       ,0               ,0               ,0         ,244.792447916667,0               ,0
2013-06-30,0          ,494.51    ,824.65    ,0         ,0        ,0       ,4862.83 ,3553.51 ,0       ,0               ,0               ,0         ,245.23836625    ,0               ,0
2013-07-01,0          ,505.53    ,842.56    ,0         ,0        ,0       ,4849.12 ,3541.49 ,0       ,0               ,0               ,0         ,245.367133958333,0               ,0
2013-07-02,0          ,518.27    ,863.9     ,0         ,0        ,0       ,4868.85 ,3556.35 ,0       ,0               ,0               ,0         ,244.671606666667,0               ,0
2013-07-03,0          ,519.46    ,865.77    ,0         ,0        ,0       ,4955.39 ,3619.11 ,0       ,0               ,0               ,0         ,244.962237708333,0               ,0
2013-07-04,0          ,525.32    ,875.54    ,0         ,0        ,0       ,5170.02 ,3775.85 ,0       ,0               ,0               ,0         ,245.025196666667,0               ,0
2013-07-05,0          ,534.95    ,891.6     ,0         ,0        ,0       ,5396.3  ,3941.12 ,0       ,0               ,0               ,0         ,244.331565625   ,0               ,0
2013-07-06,0          ,37.97     ,583.75    ,0         ,0        ,0       ,440.01  ,2964.15 ,0       ,0               ,0               ,0         ,250.102581577965,0               ,0
2013-07-07,0          ,140.54    ,948.8     ,0         ,0        ,0       ,1642.14 ,4858.07 ,0       ,0               ,0               ,0         ,244.4625525     ,0               ,0
2013-07-08,0          ,511.43    ,852.38    ,0         ,0        ,0       ,4942.39 ,3609.61 ,0       ,0               ,0               ,0         ,211.4855925     ,0               ,0
2013-07-09,0          ,483.69    ,857.61    ,0         ,0        ,0       ,4709.62 ,3659.24 ,0       ,0               ,0               ,0         ,245.380745416667,0               ,0
2013-07-10,0          ,520.4     ,867.73    ,0         ,0        ,0       ,5076.64 ,3709.38 ,0       ,0               ,0               ,0         ,245.3292325     ,0               ,0
2013-07-11,0          ,404.23    ,850.37    ,0         ,0        ,0       ,4029.37 ,3714.36 ,0       ,0               ,0               ,0         ,245.710612083333,0               ,0
2013-07-12,0          ,523.4     ,872.74    ,0         ,0        ,0       ,4792.74 ,3501.91 ,0       ,0               ,0               ,0         ,245.44468375    ,0               ,0
2013-07-13,0          ,516.12    ,860.38    ,0         ,0        ,0       ,4713.2  ,3442.97 ,0       ,0               ,0               ,0         ,245.661862291667,0               ,0
2013-07-14,0          ,517.75    ,863.13    ,0         ,0        ,0       ,4617.23 ,3372.91 ,0       ,0               ,0               ,0         ,245.667527916667,0               ,0
2013-07-15,0          ,581.97    ,837.4     ,0         ,0        ,0       ,4986.49 ,2999.08 ,0       ,0               ,0               ,0         ,245.647017291667,0               ,0
2013-07-16,0          ,575.33    ,827.69    ,0         ,0        ,0       ,4876.08 ,2932.17 ,0       ,0               ,0               ,0         ,245.721176458333,0               ,0
2013-07-17,0          ,572.78    ,824.01    ,0         ,0        ,0       ,4767.79 ,2866.97 ,0       ,0               ,0               ,0         ,245.730030625   ,0               ,0
2013-07-18,0          ,571.98    ,822.86    ,0         ,0        ,0       ,4899.63 ,2946.25 ,0       ,0               ,0               ,0         ,245.808812916667,0               ,0
2013-07-19,0          ,568.38    ,818.02    ,0         ,0        ,0       ,5019.02 ,3019.33 ,0       ,0               ,0               ,0         ,245.901638125   ,0               ,0
2013-07-20,0          ,569.04    ,818.74    ,0         ,0        ,0       ,5222.66 ,3140.9  ,0       ,0               ,0               ,0         ,245.8681375     ,0               ,0
2013-07-21,0          ,567.41    ,816.6     ,0         ,0        ,0       ,5278.22 ,3175.16 ,0       ,0               ,0               ,0         ,245.819041041667,0               ,0
2013-07-22,0          ,31.36     ,105.65    ,0         ,0        ,0       ,402.04  ,566.09  ,0       ,0               ,0               ,0         ,262.984839388889,0               ,0
2013-07-23,0          ,0         ,745.71    ,0         ,0        ,0       ,0       ,3304.09 ,0       ,0               ,0               ,0         ,248.252231666667,0               ,0
2013-07-24,0          ,5.71      ,770.67    ,0         ,0        ,0       ,63.67   ,3589    ,0       ,0               ,1.92627         ,0         ,246.418045625   ,0               ,17.85
2013-07-25,0          ,216.41    ,695.39    ,0         ,0        ,0       ,2748.59 ,3691.7  ,0       ,0               ,163.59426       ,0         ,246.838437916667,0               ,725
2013-07-26,0          ,217.37    ,776.09    ,0         ,0        ,0       ,2186.81 ,3263.55 ,0       ,0               ,0               ,0         ,246.446344583333,0               ,891.48
2013-07-27,0          ,437.17    ,779.72    ,0         ,0        ,0       ,4416.97 ,3292.87 ,0       ,0               ,0               ,0         ,245.997809375   ,0               ,886.42
2013-07-28,0          ,14.8      ,7.18      ,0         ,0        ,0       ,214.66  ,43.54   ,0       ,0               ,0               ,0         ,260.621769472953,0               ,56.01
2013-07-29,0          ,66.02     ,65.68     ,0         ,0        ,0       ,791.57  ,329.19  ,0       ,0               ,0               ,0         ,268.554359085646,0               ,123.59
2013-07-30,0          ,547.52    ,670.4     ,0         ,0        ,0       ,5507.86 ,2818.95 ,0       ,0               ,0               ,0         ,246.951553333333,0               ,1032.38
2013-07-31,0          ,59.32     ,324.71    ,0         ,0        ,0       ,587.5   ,1344.09 ,0       ,0               ,273.946930842893,0         ,248.480303362504,0               ,190.35
2013-08-01,0          ,0         ,0         ,0         ,0        ,0       ,0       ,0       ,0       ,0               ,316.01419       ,0         ,298.169         ,0               ,0
2013-08-02,0          ,0         ,0         ,0         ,0        ,0       ,0       ,0       ,0       ,0               ,317.55131       ,0         ,298.16251       ,0               ,0
2013-08-03,0          ,313.04    ,318.64    ,0         ,0        ,0       ,3291.96 ,1400.63 ,0       ,0               ,277.797679311569,0         ,255.752404344392,0               ,590.09
2013-08-04,0          ,521.18    ,736.95    ,0         ,0        ,0       ,5309.32 ,3138.05 ,0       ,0               ,273.59436787234 ,0         ,245.313630425532,0               ,1066.46
2013-08-05,0          ,533.55    ,769.73    ,0         ,0        ,0       ,5343.71 ,3222.37 ,0       ,0               ,272.298494468085,0         ,244.928722340426,0               ,1059.61
2013-08-06,0          ,540.26    ,777.23    ,0         ,0        ,0       ,5362.74 ,3224.77 ,0       ,0               ,271.560952916667,0         ,244.830094791667,0               ,1070.45
2013-08-07,0          ,547.92    ,788.24    ,0         ,0        ,0       ,5375.71 ,3232.51 ,0       ,0               ,271.07159       ,0         ,244.722753125   ,0               ,1069.96
2013-08-08,0          ,544.36    ,783.12    ,0         ,0        ,0       ,5414.14 ,3255.62 ,0       ,0               ,270.690524791667,0         ,245.210322083333,0               ,1062.22
2013-08-09,0          ,539.32    ,775.86    ,0         ,0        ,0       ,5401.06 ,3247.76 ,0       ,0               ,270.245030833333,0         ,245.339772708333,0               ,1074
2013-08-10,0          ,540.29    ,777.26    ,0         ,0        ,0       ,5405.78 ,3250.6  ,0       ,0               ,269.993142291667,0         ,245.268453333333,0               ,1070.3
2013-08-11,0          ,531.82    ,764.87    ,0         ,0        ,0       ,5356    ,3219.76 ,0       ,0               ,269.95824875    ,0         ,245.590508958333,0               ,1054.09
2013-08-12,0          ,527.03    ,758.25    ,0         ,0        ,0       ,5369.92 ,3229.29 ,0       ,0               ,269.8729        ,0         ,245.764893125   ,0               ,1038.69
2013-08-13,0          ,531.69    ,765.06    ,0         ,0        ,0       ,5345.72 ,3215.25 ,0       ,0               ,269.560700625   ,0         ,245.189209791667,0               ,1050.89
2013-08-14,0          ,534.08    ,768.65    ,0         ,0        ,0       ,5315.14 ,3197.42 ,0       ,0               ,269.412238541667,0         ,245.258392083333,0               ,1044.55
2013-08-15,0          ,530.29    ,763.75    ,0         ,0        ,0       ,5328.42 ,3207.78 ,0       ,0               ,269.361893333333,0         ,245.8657275     ,0               ,1044.6
2013-08-16,0          ,540.4     ,777.62    ,0         ,0        ,0       ,5340.05 ,3211.9  ,0       ,0               ,267.613091458333,0         ,246.128188333333,0               ,1075.73
2013-08-17,0          ,531.72    ,765.66    ,0         ,0        ,0       ,5365.92 ,3229.74 ,0       ,0               ,266.956849375   ,0         ,246.329441875   ,0               ,1088.86
2013-08-18,0          ,533.77    ,767.88    ,0         ,0        ,0       ,5357.83 ,3221.76 ,0       ,0               ,268.021773333333,0         ,246.505665625   ,0               ,1041.92
2013-08-19,0          ,552.66    ,795.06    ,0         ,0        ,59.06   ,5330.78 ,3205.5  ,0       ,0               ,266.027032291667,0         ,246.699282916667,0               ,1047.06
2013-08-20,0          ,544.62    ,783.49    ,0         ,0        ,58.7    ,5337.3  ,3209.42 ,0       ,0               ,266.559758541667,0         ,246.797249791667,0               ,1024.24
2013-08-21,0          ,534.43    ,768.84    ,0         ,0        ,59.5    ,5176.34 ,3112.63 ,0       ,0               ,266.430239583333,0         ,246.940505      ,0               ,1050.43
