DATEPRD   ,X7405f ,X7078  ,X5599  ,X5351 ,X7289
2013-09-23,0      ,1074.59,492.62 ,625.99,0
2013-09-24,0      ,1142.53,408.26 ,656.48,0
2013-09-25,0      ,1107.51,410.28 ,659.55,0
2013-09-26,0      ,1124.52,411.89 ,661.93,0
2013-09-27,0      ,299.46 ,64.36  ,491.73,0
2013-09-28,0      ,380.03 ,206.41 ,799.2 ,0
2013-09-29,0      ,1158.6 ,367.22 ,665.7 ,0
2013-09-30,0      ,1194.95,375.93 ,681.42,0
2013-10-01,0      ,1195.94,375.71 ,681.02,0
2013-10-02,0      ,1249.05,295.03 ,711.35,0
2013-10-03,0      ,1245.28,293.47 ,707.63,0
2013-10-04,0      ,1242.87,292.86 ,705.9 ,0
2013-10-05,0      ,1235.41,296.71 ,714.35,0
2013-10-06,0      ,1256.2 ,298.71 ,718.46,0
2013-10-07,0      ,1251.09,298.45 ,714.08,0
2013-10-08,0      ,1251.81,295.29 ,709.59,0
2013-10-09,0      ,1256.98,292.16 ,702.19,0
2013-10-10,0      ,1271.99,292.9  ,703.99,0
2013-10-11,0      ,655.2  ,163.08 ,311.95,0
2013-10-12,0      ,362.61 ,99.76  ,44.93 ,0
2013-10-13,0      ,1178.27,279.17 ,615.54,0
2013-10-14,0      ,1183.06,279.23 ,671.85,0
2013-10-15,0      ,1198.75,280.73 ,683.09,0
2013-10-16,0      ,1197.21,283.09 ,680.85,0
2013-10-17,0      ,1198.18,288.49 ,692.36,0
2013-10-18,0      ,1215.93,284.86 ,685.23,0
2013-10-19,0      ,1221.59,282.54 ,679.92,0
2013-10-20,0      ,1210.15,287.52 ,691.96,0
2013-10-21,0      ,1218.52,282.06 ,678.86,0
2013-10-22,0      ,1219.97,285.59 ,686.85,0
2013-10-23,0      ,1221.28,285.87 ,687.36,0
2013-10-24,0      ,1250.87,286.93 ,686.11,0
2013-10-25,0      ,1249.12,286.03 ,687.65,0
2013-10-26,0      ,1236.82,285.36 ,685.92,0
2013-10-27,0      ,1219.94,280.98 ,675.02,0
2013-10-28,0      ,250.93 ,141.14 ,0     ,0
2013-10-29,0      ,557.18 ,181.22 ,0     ,0
2013-10-30,0      ,414.96 ,153.26 ,193.53,0
2013-10-31,0      ,1197.34,276.81 ,633.57,0
2013-11-01,0      ,1212.36,281.1  ,677.68,0
2013-11-02,0      ,1252.76,289.26 ,11.09 ,0
2013-11-03,0      ,773.31 ,204.44 ,5.75  ,0
2013-11-04,0      ,1155.15,56.86  ,565.18,0
2013-11-05,0      ,1180.75,0      ,678.85,0
2013-11-06,0      ,1127.93,0      ,647.62,0
2013-11-07,0      ,1164.19,148.58 ,623.9 ,0
2013-11-08,0      ,1186.6 ,259.94 ,670.56,0
2013-11-09,0      ,1174.61,256.51 ,661.81,0
2013-11-10,0      ,1201.41,255.68 ,659.87,0
2013-11-11,0      ,1257.28,228.51 ,673.1 ,0
2013-11-12,0      ,1167.56,273.47 ,707.48,0
2013-11-13,0      ,1150.55,271.33 ,699.29,0
2013-11-14,0      ,1162.76,274.55 ,707.27,0
2013-11-15,0      ,1172.19,277.47 ,714.35,0
2013-11-16,0      ,1185.38,280.21 ,721.6 ,0
2013-11-17,0      ,1156.62,272.16 ,701.5 ,0
2013-11-18,0      ,1155.28,272.09 ,701.07,0
2013-11-19,0      ,1145.31,267.04 ,688.24,0
2013-11-20,0      ,1222.99,273.73 ,705.48,0
2013-11-21,0      ,1245.11,274.09 ,706.16,0
2013-11-22,0      ,1213.11,277.75 ,715.3 ,0
2013-11-23,0      ,1216.54,273.88 ,705.39,0
2013-11-24,0      ,1232.91,271.59 ,699.92,0
2013-11-25,0      ,1227.25,271.85 ,700.29,0
2013-11-26,0      ,1200.78,272.84 ,702.39,0
2013-11-27,0      ,1202.03,272.37 ,701.55,0
2013-11-28,0      ,1193.42,271.91 ,700.53,0
2013-11-29,0      ,1196.26,270.19 ,696.45,0
2013-11-30,0      ,1253.95,271.16 ,698.99,0
2013-12-01,0      ,1274.74,271.62 ,700.13,0
2013-12-02,0      ,1326.29,281.46 ,644.52,0
2013-12-03,0      ,1314.55,280.77 ,642.92,0
2013-12-04,0      ,1340.01,271.96 ,623.26,0
